"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"LANWDUCV","journalArticle","2020","Qureshi, Abdullah; Allahyari, Morehshin","On Digital Decolonization: A Conversation with Morehshin Allahyari","Frontiers: A Journal of Women Studies","","1536-0334","","http://muse.jhu.edu/article/755342","In 2014 the Islamic State (ISIS/ISIL) began ruthless destruction of ancient and historical heritage, including sites as old as 3,000 years, in Iraq and Syria. A year later the world witnessed this through horrifying videos on social media. Responding to this unimaginable cultural loss, Iranian-born artist and activist Morehshin Allahyari initiated Material Speculation: Isis—creating 3D-printed replicas of twelve of the destroyed sculptures from the cities of Hatra and Nineveh. The project involved collecting extensive data and research with various historians, curators, and visual archives, which Allahyari placed on USB flash drives and embedded within the body of the statues. In her current series, She Who Sees the Unknown, she looks at stories from the South West Asian and North African (SWANA) region, re-figuring images of goddesses and djinns through a feminist lens as a way of weaving new magical narratives and speculating mythologies., In this conversation with Allahyari, I discuss her artistic and research processes, unpacking issues of digital decolonization. The dialogue further addresses the philosophical underpinnings of her practice and looks at the use of technology as a means to reflect and challenge our collective political, social, and cultural pasts, presents, and futures.","2020-05-19","2020-07-02 19:22:24","2020-07-02 19:22:24","2020-06-19 22:24:56","87-100","","1","41","","","On Digital Decolonization","","","","","","","en","","","","","Project MUSE","","Publisher: University of Nebraska Press","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"UL6NTPK7","webpage","","","Race, Diversity and Politics in Conservation: Our 21st Century Crisis–Sanchita Balachandran – AIC Blog Archives: Conservators Converse","","","","","http://resources.culturalheritage.org/conservators-converse/2016/05/25/race-diversity-and-politics-in-conservation-our-21st-century-crisis-sanchita-balachandran/","","","2020-07-01 10:49:04","2020-07-01 10:49:04","2020-06-29 16:06:08","","","","","","","","","","","","","","","","","","","","","","","/home/diegodlh/Zotero/storage/SNQMS8YU/race-diversity-and-politics-in-conservation-our-21st-century-crisis-sanchita-balachandran.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"8YQVCMKP","webpage","","","Creative Commons on Twitter: ""🎙️ Thanks to the efforts of CC Certificate facilitator Jonathan A Poritz (an #OER enthusiast) our training materials are now available as audio files licensed CC BY 4.0! https://t.co/bcqyt8KfL8"" / Twitter","Twitter","","","","https://twitter.com/creativecommons/status/1276160573928071176","","","2020-06-29 06:32:27","2020-06-29 06:32:27","2020-06-29 06:32:27","","","","","","","Creative Commons on Twitter","","","","","","","en-GB","","","","","","","Library Catalog: twitter.com","","/home/diegodlh/Zotero/storage/PEKXF388/1276160573928071176.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"E5TPPPZL","webpage","","","Home Page","Open Preservation Foundation","","","","https://openpreservation.org/","News","","2020-06-29 06:29:39","2020-06-29 06:29:39","2020-06-29 06:29:39","","","","","","","","","","","","","","en-GB","","","","","","","Library Catalog: openpreservation.org","","/home/diegodlh/Zotero/storage/T2D79ZHQ/openpreservation.org.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"WNMNH6SX","webpage","","","P. Gabrielle Foreman on Twitter: ""Harvard’s @HoughtonLib will pause all digital project work to spend the year digitizing *only #BlackHistory.* Why? Because an archivist dared to propose it when undergirded by a movement.💥@dorothyjberry!💥 @BC_ALA @NYPL_Archives @AmAntiquarian @BeineckeLibrary @TranscribeSI"" / Twitter","Twitter","","","","https://twitter.com/profgabrielle/status/1276230972535648256","","","2020-06-29 06:28:25","2020-06-29 06:28:25","2020-06-29 06:28:25","","","","","","","P. Gabrielle Foreman on Twitter","","","","","","","en-GB","","","","","","","Library Catalog: twitter.com","","/home/diegodlh/Zotero/storage/8NJJ6J4K/1276230972535648256.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"V4RFLGXX","webpage","","","Lisette Kalshoven on Twitter: ""Great pop-up on the new @TroveAustralia website. It gives the option to receive cultural context at some descriptions / works / opinions that we may not find appropriate anymore. I am clicking 'yes, show me!' #OpenGlam #OpenHeritage https://t.co/iiUZ6rdcFF"" / Twitter","Twitter","","","","https://twitter.com/lnkalshoven/status/1276429023376289792","","","2020-06-29 06:28:01","2020-06-29 06:28:01","2020-06-29 06:28:01","","","","","","","Lisette Kalshoven on Twitter","","","","","","","en-GB","","","","","","","Library Catalog: twitter.com","","/home/diegodlh/Zotero/storage/GULDWZSF/1276429023376289792.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"H3MUAVEH","webpage","","","Starting a Digital Collection | U-M Library","","","","","https://www.lib.umich.edu/digital-content-collections-dcc/starting-digital-collection","","","2020-06-29 05:57:36","2020-06-29 05:57:36","2020-06-29 05:57:36","","","","","","","","","","","","","","","","","","","","","","","/home/diegodlh/Zotero/storage/UAENBBUQ/starting-digital-collection.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"AAN6AAYE","webpage","2020","","On the Limits of Care and Knowledge: 15 Points Museums Must Understand to Dismantle Structural Injustice","artnet News","","","","https://news.artnet.com/opinion/limits-of-care-and-knowledge-yesomi-umolu-op-ed-1889739","The artistic director of the 2019 Chicago Architecture Biennial explores what museums must internalize before moving forward.","2020-06-25","2020-06-29 05:55:48","2020-06-29 05:55:48","2020-06-29 05:55:48","","","","","","","On the Limits of Care and Knowledge","","","","","","","en-US","","","","","","","Library Catalog: news.artnet.com Section: Opinion","","/home/diegodlh/Zotero/storage/8A4LREF3/limits-of-care-and-knowledge-yesomi-umolu-op-ed-1889739.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"GYIK5UHG","blogPost","2020","","To Bear Witness: Real Talk about White Supremacy in Art Museums Today","Burnaway","","","","https://burnaway.org/to-bear-witness/","After years of working in art museums in the United States, Dr. Kelli Morgan outlines her experiences of institutional racism and how to fix it.","2020-06-24","2020-06-29 05:55:46","2020-06-29 05:55:46","2020-06-29 05:55:46","","","","","","","To Bear Witness","","","","","","","en-US","","","","","","","Library Catalog: burnaway.org Section: Feature","","/home/diegodlh/Zotero/storage/X73XGFAD/to-bear-witness.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"RSJNCTG2","webpage","","Chan, Sebastian","48. On Planetary in 2020: curatorial activism and open sourcing in service of digital preservation","","","","","https://sebchan.substack.com/p/48-on-planetary-in-2020-curatorial","The first I knew of Kemal Enver’s work on Planetary was an excited message from Aaron. And there it was, live on the AppStore — Planetary Remastered. I got in touch with Kemal, not aware that he was based in Sydney. I was really curious as to how he came across Planetary and what he had done to bring it back to life.","","2020-06-29 05:50:59","2020-06-29 05:50:59","2020-06-29 05:50:59","","","","","","","48. On Planetary in 2020","","","","","","","","","","","","","","Library Catalog: sebchan.substack.com","","/home/diegodlh/Zotero/storage/DZKULKAG/48-on-planetary-in-2020-curatorial.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9J8KR6AK","webpage","2020","","Community Calls on ICP to Set Ethical Guidelines for Protest Photography","Hyperallergic","","","","https://hyperallergic.com/572749/community-calls-on-icp-to-set-ethical-guidelines-for-protest-photography/","Noah Morrison, founding member of ICP Center Blackness Now, says the International Center of Photography’s response to their efforts has been superficial.","2020-06-23","2020-06-26 10:31:34","2020-06-26 10:31:34","2020-06-26 10:31:34","","","","","","","","","","","","","","en-US","","","","","","","Library Catalog: hyperallergic.com","","/home/diegodlh/Zotero/storage/7897S7F2/community-calls-on-icp-to-set-ethical-guidelines-for-protest-photography.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"VS3LBZX5","blogPost","","","Race, Policing, and Detroit’s Project Green Light – UM ESC","","","","","http://esc.umich.edu/project-green-light/","","","2020-06-26 10:31:33","2020-06-26 10:31:33","2020-06-26 10:31:33","","","","","","","","","","","","","","en-US","","","","","","","Library Catalog: esc.umich.edu","","/home/diegodlh/Zotero/storage/SBEG25W9/project-green-light.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"P26SARX5","webpage","2014","acmonk","Copyright & ethical terms of reuse","","","","","https://www.qdl.qa/en/copyright-ethical-terms-reuse","Copyright & ethical terms of reuse","2014-08-21","2020-06-25 15:38:25","2020-06-25 15:38:25","2020-06-25 15:38:25","","","","","","","","","","","","","","English","","Text","","","","","Library Catalog: www.qdl.qa","","/home/diegodlh/Zotero/storage/MNWW4BVT/copyright-ethical-terms-reuse.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HNJ382Z2","webpage","","","ResponsibleAccessWorkflows_PUBLIC_CC-BY-NC-4.0","Google Docs","","","","https://docs.google.com/presentation/d/1V66PGpIq9xqXxdvngpD3rkAMoIw2hIyVVDS4Iv4VFOM/edit?usp=embed_facebook","Updated 28 Apr. 2020 Not Legal Advice RESPONSIBLE ACCESS WORKFLOWS Copyright © The Regents of the University of California. Licensed CC-BY-NC 4.0","","2020-06-25 14:51:20","2020-06-25 14:51:20","2020-06-25 14:51:20","","","","","","","","","","","","","","en","","","","","","","Library Catalog: docs.google.com","","/home/diegodlh/Zotero/storage/6EFL4TEF/edit.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"X253B3GW","webpage","2020","Summers, Ed","Introducing The Catalog v2","Medium","","","","https://news.docnow.io/introducing-the-catalog-v2-80557eeb8421","If you’ve been following our work for the past few years you may have occasionally seen us mention something called the Catalog. The…","2020-04-16","2020-06-24 12:22:43","2020-06-24 12:22:43","2020-06-24 12:22:43","","","","","","","","","","","","","","en","","","","","","","Library Catalog: news.docnow.io","","/home/diegodlh/Zotero/storage/DVZUUF68/introducing-the-catalog-v2-80557eeb8421.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PFN7XY8N","webpage","2019","Summers, Ed","Designing for Consent","Medium","","","","https://news.docnow.io/designing-for-consent-2f9e9cb2ab4f","Many thanks to the Congrés d’Arxivística de Catalunya for the invitation to come and talk about social media archives and the Documenting…","2019-05-21","2020-06-24 12:22:09","2020-06-24 12:22:09","2020-06-24 12:22:09","","","","","","","","","","","","","","en","","","","","","","Library Catalog: news.docnow.io","","/home/diegodlh/Zotero/storage/52I39UR3/designing-for-consent-2f9e9cb2ab4f.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ALIIQ5VQ","webpage","2020","Costanza-Chock, Sasha","Design Justice","Design Justice","","","","https://design-justice.pubpub.org/","An exploration of how design might be led by marginalized communities, dismantle structural inequality, and advance collective liberation and ecological survival.","2020","2020-06-24 12:21:06","2020-06-24 12:21:20","2020-06-24 12:21:06","","","","","","","","","","","","","","en","","","","","","","Library Catalog: design-justice.pubpub.org","","/home/diegodlh/Zotero/storage/XMD5TIWX/design-justice.pubpub.org.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9I2864CH","journalArticle","2011","Bingo, Steven","Of Provenance and Privacy: Using Contextual Integrity to Define Third-Party Privacy","The American Archivist","","0360-9081","","https://www.jstor.org/stable/23079048","This article approaches the issue of third-party privacy by examining how contextual factors related to the creation and use of records can inform decisions to restrict or open access. Helen Nissenbaum's theory of contextual integrity, which originates from the discourse surrounding digital privacy, is applied as a means to expand an archival concept of provenance to address privacy risks. Applying contextual integrity to privacy decisions also allows archivists to frame decisions in terms of circulation, rather than as a simple dichotomy between access and restriction. Such nuance is invaluable when considering the impact of making records available digitally.","2011","2020-06-24 12:17:11","2020-06-24 12:17:11","2020-06-24 12:17:11","506-521","","2","74","","","Of Provenance and Privacy","","","","","","","","","","JSTOR","","JSTOR","","Publisher: Society of American Archivists","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7Z4C9GC7","blogPost","","","decolonial collective on migration of objects and people","","","","","https://blogs.brown.edu/decolonialcollective/","","","2020-06-22 10:14:41","2020-06-22 10:14:41","2020-06-22 10:13:59","","","","","","","","","","","","","","en-US","","","","","","","Library Catalog: blogs.brown.edu","","/home/diegodlh/Zotero/storage/PGLD8LSF/decolonialcollective.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"V4UN98WB","newspaperArticle","","Antonelli, Alexandre","Director of science at Kew: it's time to decolonise botanical collections","The Conversation","","","","http://theconversation.com/director-of-science-at-kew-its-time-to-decolonise-botanical-collections-141070","Scientists still report species as being 'discovered', even if they've been used by local populations for years.","","2020-06-20 10:30:45","2020-06-20 10:30:45","2020-06-20 10:30:29","","","","","","","Director of science at Kew","","","","","","","en","","","","","","","Library Catalog: theconversation.com","","/home/diegodlh/Zotero/storage/JBNCC45X/director-of-science-at-kew-its-time-to-decolonise-botanical-collections-141070.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"FV53TKGF","webpage","2020","","ASA Toolkit","Project STAND","","","","https://standarchives.com/asa-toolkit/","Visit the post for more.","2020-04-14","2020-06-20 10:16:10","2020-06-20 10:16:10","2020-06-20 10:16:10","","","","","","","","","","","","","","en-US","","","","","","","Library Catalog: standarchives.com","","/home/diegodlh/Zotero/storage/F3NAIGSN/asa-toolkit.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"H7RGSCX8","blogPost","2020","","The Blackivists’ Five Tips for Organizers, Protestors, and Anyone Documenting Movements","Sixty Inches From Center","","","","https://sixtyinchesfromcenter.org/the-blackivists-five-tips-for-organizers-protestors-and-anyone-documenting-movements/","The Blackivists archivist collective offers some advice on documenting movements as we work together to protect the collective documentation that proves we are here, addressing and safeguarding our people and communities.","2020-06-02","2020-06-19 18:06:05","2020-06-19 18:06:05","2020-06-19 18:06:05","","","","","","","","","","","","","","en-US","","","","","","","Library Catalog: sixtyinchesfromcenter.org Section: Action","","/home/diegodlh/Zotero/storage/UDVAR3VT/the-blackivists-five-tips-for-organizers-protestors-and-anyone-documenting-movements.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HTU55D49","webpage","","","The Blackivists","The Blackivists","","","","https://www.theblackivists.com/services","","","2020-06-19 16:23:56","2020-06-19 16:24:10","2020-06-19 16:23:56","","","","","","","","","","","","","","en-US","","","","","","","Library Catalog: www.theblackivists.com","","/home/diegodlh/Zotero/storage/8PZID8RK/services.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"EIE9ALCT","webpage","","","Documenting the Now","DocNow","","","","https://www.docnow.io/","Documenting the Now develops tools and builds community practices that   support the ethical collection, use, and preservation of social media  content.","","2020-06-19 16:23:50","2020-06-19 16:23:50","2020-06-19 16:23:50","","","","","","","","","","","","","","en","","","","","","","Library Catalog: www.docnow.io","","/home/diegodlh/Zotero/storage/27ICGQUA/www.docnow.io.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"V3TV7LW9","webpage","","","Project STAND","Project STAND","","","","https://standarchives.com/","Student Activism Now Documented","","2020-06-19 16:23:47","2020-06-19 16:23:47","2020-06-19 16:23:47","","","","","","","","","","","","","","en-US","","","","","","","Library Catalog: standarchives.com","","/home/diegodlh/Zotero/storage/UE7UJFQU/standarchives.com.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"GMKDM5QU","webpage","","","WITNESS: Documenting Human Rights with Video","WITNESS","","","","https://www.witness.org/","WITNESS is an international nonprofit organization that trains and supports people using video in their fight for human rights.","","2020-06-19 16:23:42","2020-06-19 16:23:42","2020-06-19 16:23:42","","","","","","","WITNESS","","","","","","","en-US","","","","","","","Library Catalog: www.witness.org","","/home/diegodlh/Zotero/storage/XJGIRIBD/www.witness.org.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
